update,kernel,num_steps,num_events,num_assignments,avg_group_return,positive_credit_frac,credit_mass_on_causal_steps,policy_loss,entropy
1,dependency,278,286,1492,-3.0175,0.06474820143884892,0.9758958976601737,-0.005301642662492112,2.5574681229808354
2,dependency,289,305,1549,-2.9625,0.07958477508650519,0.9803845330446727,-0.03653624668534778,2.5497118535827155
3,dependency,300,303,1538,-3.115,0.07,0.9782841257724311,-0.05656420866421185,2.521144719503281
4,dependency,293,312,1595,-3.16875,0.06825938566552901,0.9955629299726011,-0.01888570783633353,2.5537124383743923
5,dependency,271,291,1460,-3.1237500000000002,0.07011070110701106,0.9815433842180028,-0.04849506336715306,2.5453391673334416
6,dependency,317,325,1717,-3.44875,0.050473186119873815,0.997367999226748,0.012633919338099705,2.546647683885679
7,dependency,265,269,1400,-2.70125,0.0830188679245283,0.9901333659877081,-0.041534228613266146,2.530581268249341
8,dependency,298,312,1640,-3.0324999999999998,0.1040268456375839,0.996056545746744,-0.082718703316613,2.511832519917129
9,dependency,275,289,1484,-3.065,0.08363636363636363,0.9701929865989335,-0.07057755186609292,2.525814856326933
10,dependency,267,286,1393,-3.01625,0.052434456928838954,1.0,-0.03157616610559896,2.528686680027321
11,dependency,287,297,1502,-2.8075,0.11149825783972125,0.9275148629931091,-0.05869175988919298,2.509546707345567
12,dependency,294,308,1584,-3.28375,0.08163265306122448,0.9919958484609878,-0.10081365054024156,2.466488132091568
13,dependency,276,280,1422,-2.78,0.08695652173913043,0.9976419770609317,-0.1086330886343242,2.50241910952964
14,dependency,265,281,1407,-1.86875,0.16226415094339622,0.9876248008676787,-0.09107857332962219,2.4834390172379113
15,dependency,279,286,1381,-2.84125,0.1003584229390681,0.9920321836555013,-0.0730685630502916,2.4944106816000975
16,dependency,281,291,1466,-2.915,0.08896797153024912,1.0,-0.09410750623908302,2.4692379518439433
17,dependency,290,301,1578,-2.79,0.1310344827586207,0.9965754886329635,-0.14933953022941318,2.463812707176112
18,dependency,289,305,1509,-2.8825,0.0726643598615917,1.0,-0.05327314849245351,2.4996995281189927
19,dependency,270,288,1363,-2.85375,0.0962962962962963,0.9884922881821386,-0.1153297706934472,2.467258669016206
20,dependency,283,307,1592,-2.95,0.127208480565371,0.9237253882350188,-0.17546570112081994,2.3795464737142424
21,dependency,275,286,1471,-2.4,0.12363636363636364,0.8954375996084767,-0.10726123331791403,2.4286606145161045
22,dependency,247,239,1150,-2.2425,0.12550607287449392,0.9206972209423037,-0.09571824003593277,2.4549359841707004
23,dependency,265,278,1402,-2.46,0.12452830188679245,0.9523869614095961,-0.1509067323212307,2.3985037190640077
24,dependency,266,273,1297,-2.09625,0.20300751879699247,0.8946443859830302,-0.1911914126754742,2.4252666243459595
25,dependency,280,296,1480,-2.59625,0.15,0.9078471085250664,-0.16128853846949776,2.423268292555192
26,dependency,304,319,1652,-2.3075,0.19736842105263158,0.9118181262034748,-0.2167419259008222,2.3701790084416334
27,dependency,297,299,1570,-2.77,0.14814814814814814,0.999357814295622,-0.17285275288900528,2.4319277095085714
28,dependency,217,237,1096,-2.23625,0.12442396313364056,0.8960228099448797,-0.11513011562220993,2.410529761570881
29,dependency,254,259,1250,-2.02375,0.1889763779527559,0.8823832107226395,-0.16317081542911302,2.3750083455954094
30,dependency,275,291,1438,-2.5325,0.15636363636363637,0.9882671448155831,-0.22790849401814436,2.3793304482237905
31,dependency,232,247,1110,-2.3125,0.14224137931034483,0.9907949313760087,-0.19308757066351281,2.3869012091571973
32,dependency,290,288,1482,-2.01875,0.20344827586206896,0.9306167720383455,-0.27936500440069306,2.3373552112530844
33,dependency,274,286,1465,-2.41,0.17518248175182483,0.9252627365083079,-0.20913918329323306,2.3630744961381764
34,dependency,267,274,1329,-2.27,0.16853932584269662,0.9143931805258138,-0.19886651406369052,2.318503852650698
35,dependency,262,278,1392,-1.68625,0.23282442748091603,0.9010546123475504,-0.18213107899409794,2.391107047353685
36,dependency,286,288,1459,-2.35375,0.16783216783216784,0.9423336832363632,-0.25903119155702614,2.321615730501094
37,dependency,293,305,1544,-0.9237499999999998,0.2901023890784983,0.9257101258396092,-0.31697384353886726,2.222682035856933
38,dependency,280,301,1522,-2.1287499999999997,0.225,0.9392384734439583,-0.31500682270103353,2.3255325926170602
39,dependency,274,282,1385,-1.97125,0.18613138686131386,0.9752564678628557,-0.2764361437328311,2.365550852525354
40,dependency,248,266,1291,-1.6112499999999998,0.23790322580645162,0.8952293288329383,-0.215080456455291,2.290256546439783
41,dependency,234,255,1215,-0.8875,0.3162393162393162,0.9212365204128237,-0.29284398540673673,2.2427282125327803
42,dependency,274,280,1377,-1.39,0.2591240875912409,0.8990956571088258,-0.25361749153650687,2.2902647493902504
43,dependency,282,298,1446,-1.2750000000000001,0.2695035460992908,0.8981905973236349,-0.2990029989272602,2.2289084309172345
44,dependency,230,247,1103,-1.145,0.2608695652173913,0.9301747297883761,-0.32029359541030505,2.216770521864821
45,dependency,256,260,1251,-0.95625,0.30078125,0.9264667914469671,-0.24828046734453288,2.1609676795441652
46,dependency,249,262,1260,-0.87125,0.2931726907630522,0.9479208065517108,-0.2561302003858737,2.198219572873771
47,dependency,277,277,1396,-1.8737499999999998,0.22382671480144403,0.9276137188010121,-0.3286891579500017,2.288562590126513
48,dependency,286,315,1575,-1.765,0.2517482517482518,0.9545554390881087,-0.29102657136074883,2.1922453155483135
49,dependency,275,296,1421,-0.47124999999999995,0.3418181818181818,0.9026236162782244,-0.30721014567249166,2.266005378702199
50,dependency,259,269,1389,-1.6949999999999998,0.25868725868725867,0.9144523378934931,-0.3594004371989679,2.195195955742609
51,dependency,275,289,1411,-0.9575,0.2909090909090909,0.9399110913850613,-0.3948542130931325,2.212065244850501
