update,kernel,num_steps,num_events,num_assignments,avg_group_return,positive_credit_frac,credit_mass_on_causal_steps,policy_loss,entropy
1,evidence,278,286,1492,-3.0175,0.03597122302158273,0.8893335042855475,-0.004337403966980337,2.554905713155763
2,evidence,289,305,1549,-2.9625,0.04844290657439446,0.8856981734286602,-0.05216838058910272,2.5421026141520646
3,evidence,300,303,1551,-3.1675,0.02,0.8593972589335744,-0.05512275050324329,2.5043813853801566
4,evidence,293,312,1595,-3.16875,0.03754266211604096,0.9290873918934742,-0.014478034520380488,2.5527805594428212
5,evidence,271,292,1465,-3.16,0.02952029520295203,0.9005306058654506,-0.020121694606245723,2.5410366868345178
6,evidence,317,325,1717,-3.465,0.03785488958990536,0.8803324897463377,0.011923576674847357,2.542934282938249
7,evidence,265,269,1400,-2.7175000000000002,0.03773584905660377,0.9480688274702928,-0.030888740199607734,2.533473576042291
8,evidence,285,307,1537,-2.97375,0.03859649122807018,0.9888750915258918,-0.04525497979862475,2.5151538714145643
9,evidence,276,273,1369,-2.8075,0.036231884057971016,0.8896675409245407,-0.03415565832662706,2.524837225256906
10,evidence,266,277,1367,-2.82,0.05639097744360902,0.8082042107238187,-0.028597208153427596,2.5266768284914676
11,evidence,297,304,1558,-2.7424999999999997,0.08754208754208755,0.7886137919724715,-0.07983404432161775,2.4962308561206057
12,evidence,293,308,1588,-3.38,0.020477815699658702,0.9323413269106957,-0.05330729157177282,2.485258277338298
13,evidence,274,285,1434,-2.695,0.05474452554744526,0.6608571798665669,-0.017445471726271134,2.49048384088248
14,evidence,271,281,1433,-2.69375,0.055350553505535055,0.902757691477869,-0.018977075448565302,2.484967653499923
15,evidence,278,293,1400,-2.9675,0.06115107913669065,0.9544956392039262,-0.11090558594594337,2.490475207538258
16,evidence,283,302,1556,-2.9925,0.05653710247349823,0.9580864650318119,-0.11420075109801221,2.464636277814293
17,evidence,257,268,1299,-2.285,0.09727626459143969,0.8272226518363611,-0.17442574872781985,2.439447009362558
18,evidence,285,295,1472,-2.99,0.014035087719298246,0.6460870684753875,0.0071228512509439335,2.4967116657256323
19,evidence,282,288,1429,-2.61625,0.05319148936170213,0.9457840450564796,-0.09710911292743153,2.4853353712489694
20,evidence,266,278,1360,-2.7575,0.06390977443609022,0.7515039033481351,-0.04644145890201623,2.4215965961294517
21,evidence,284,288,1489,-2.90375,0.0528169014084507,0.9112774848885838,-0.11386126987592407,2.4396350662021002
22,evidence,261,267,1352,-2.8875,0.022988505747126436,0.9497540402587807,-0.05611504302000998,2.4410636559188705
23,evidence,279,289,1460,-2.17625,0.12544802867383512,0.6349267874986967,-0.10132129548762195,2.4531708311308513
24,evidence,267,290,1373,-2.315,0.13108614232209737,0.7558161532486872,-0.22085690769673832,2.435885427282751
25,evidence,277,286,1439,-2.2025,0.1444043321299639,0.7192102299257793,-0.22621113984904662,2.4330048023915123
26,evidence,292,286,1420,-2.6237500000000002,0.0958904109589041,0.8858767625190271,-0.12815198012578513,2.455299044863714
27,evidence,278,267,1371,-2.405,0.09352517985611511,0.823655751108517,-0.11380035343049937,2.439618307644866
28,evidence,228,234,1130,-2.185,0.10964912280701754,0.7216884608865476,-0.14503057155512225,2.398336580584818
29,evidence,259,261,1245,-2.25125,0.08108108108108109,0.8624358734999701,-0.2127741107486197,2.3908353861443423
30,evidence,261,279,1368,-1.9562499999999998,0.1532567049808429,0.6962867326914479,-0.14277689837991428,2.363682552197787
31,evidence,254,264,1261,-2.6574999999999998,0.031496062992125984,0.9740120233257438,-0.08865579770853771,2.3960203844956127
32,evidence,289,288,1452,-2.0837499999999998,0.13494809688581316,0.7830088221678494,-0.23971829391672786,2.3291369939235156
33,evidence,274,277,1413,-2.14,0.14233576642335766,0.6617306497884843,-0.14858192913413307,2.3964091417385
34,evidence,273,285,1369,-2.175,0.1684981684981685,0.7293706076401985,-0.2348758163727089,2.366884769866656
35,evidence,273,290,1451,-2.30875,0.14652014652014653,0.7103495930293201,-0.15161163880101905,2.404979198676905
36,evidence,277,282,1425,-2.27625,0.12274368231046931,0.7329445379814761,-0.1930413230188755,2.3785359580776113
37,evidence,308,311,1650,-2.38625,0.11363636363636363,0.7514006690536298,-0.27443865584007177,2.339265542702648
38,evidence,278,292,1453,-2.28625,0.1510791366906475,0.9009459444002498,-0.27279398268149374,2.338633267163164
39,evidence,284,302,1524,-2.3075,0.11619718309859155,0.7330375970255244,-0.12630277769556172,2.3729953466888514
40,evidence,263,272,1351,-1.76125,0.16730038022813687,0.7174084695946255,-0.18795329940051714,2.3178012054880397
41,evidence,257,270,1348,-1.82625,0.17120622568093385,0.7988359375344819,-0.3831344274817971,2.31568189183019
